name,value,prop,propType,value
,,anatomical location(P927),anatomical_structure(wd:Q4936952),741
,,genetic association(P2293),gene(wd:Q7187),7004
,,drug or therapy used for treatment(P2176),medication(wd:Q12140),4845
,,drug or therapy used for treatment(P2176),therapeutic_use(wd:Q50379781),0
,,subclass of(P279),disease(wd:Q12136),16928
,,symptoms and signs(P780),disease(wd:Q12136),423
,,has cause(P828),taxon(wd:Q16521),238
,,medical condition treated(P2175),chemical_compound(wd:Q11173),0
,,medical condition treated(P2175),medication(wd:Q12140),1
,,medical condition treated(P2175),therapeutic_use(wd:Q50379781),0
,,drug or therapy used for treatment(P2176),chemical_compound(wd:Q11173),4944
gene,1196193,,,
,,ortholog(P684),gene(wd:Q7187),3207943
,,found in taxon(P703),taxon(wd:Q16521),836241
,,genetic association(P2293),disease(wd:Q12136),4850
,,chromosome(P1057),chromosome(wd:Q37748),577225
,,encodes(P688),protein(wd:Q8054),948824
,,biological process(P682),biological_process(wd:Q2996394),742
mechanism_of_action,0,,,
medication,3210,,,
,,subject has role(P2868),mechanism_of_action(wd:Q3271540),0
,,significant drug interaction(P769),chemical_compound(wd:Q11173),1492
,,subclass of(P279),therapeutic_use(wd:Q50379781),0
,,significant drug interaction(P769),therapeutic_use(wd:Q50379781),0
,,medical condition treated(P2175),symptom(wd:Q169872),152
,,medical condition treated(P2175),disease(wd:Q12136),4775
,,active ingredient in(P3780),pharmaceutical_product(wd:Q28885102),2098
,,subject has role(P2868),pharmacologic_action(wd:Q50377224),0
,,subclass of(P279),pharmacologic_action(wd:Q50377224),0
,,subject has role(P2868),therapeutic_use(wd:Q50379781),0
,,significant drug interaction(P769),pharmacologic_action(wd:Q50377224),0
molecular_function,11226,,,
,,subclass of(P279),molecular_function(wd:Q14860489),13692
,,has part(s)(P527),molecular_function(wd:Q14860489),211
,,part of(P361),molecular_function(wd:Q14860489),16
pharmaceutical_product,2754,,,
,,active ingredient in(P3780),chemical_compound(wd:Q11173),0
,,has active ingredient(P3781),medication(wd:Q12140),2152
,,therapeutic area(P4044),disease(wd:Q12136),1160
,,has active ingredient(P3781),pharmacologic_action(wd:Q50377224),0
,,active ingredient in(P3780),therapeutic_use(wd:Q50379781),0
,,active ingredient in(P3780),medication(wd:Q12140),0
,,has active ingredient(P3781),chemical_compound(wd:Q11173),2045
,,has active ingredient(P3781),therapeutic_use(wd:Q50379781),0
,,active ingredient in(P3780),pharmacologic_action(wd:Q50377224),0
pharmacologic_action,0,,,
protein_domain,10770,,,
,,part of(P361),protein_domain(wd:Q898273),301
,,has part(s)(P527),protein_domain(wd:Q898273),301
,,regulates (molecular biology)(P128),protein_domain(wd:Q898273),0
,,subclass of(P279),protein_domain(wd:Q898273),2045
protein_family,22170,,,
,,part of(P361),protein(wd:Q8054),0
,,subclass of(P279),protein_family(wd:Q417841),5106
,,has part(s)(P527),protein(wd:Q8054),10
protein,980520,,,
,,physically interacts with(P129),chemical_compound(wd:Q11173),3835
,,physically interacts with(P129),medication(wd:Q12140),2037
,,cell component(P681),protein(wd:Q8054),80
,,cell component(P681),cellular_component(wd:Q5058355),828790
,,molecular function(P680),molecular_function(wd:Q14860489),1070115
,,found in taxon(P703),taxon(wd:Q16521),621103
,,has part(s)(P527),protein_family(wd:Q417841),372
,,has part(s)(P527),binding_site(wd:Q616005),10883
,,physically interacts with(P129),protein(wd:Q8054),890
,,has part(s)(P527),protein_domain(wd:Q898273),508568
,,part of(P361),protein_family(wd:Q417841),269314
,,part of(P361),binding_site(wd:Q616005),0
,,part of(P361),active_site(wd:Q423026),0
,,biological process(P682),biological_process(wd:Q2996394),1159664
,,has part(s)(P527),active_site(wd:Q423026),13707
,,cell component(P681),anatomical_structure(wd:Q4936952),54
,,part of(P361),protein_domain(wd:Q898273),262
,,encoded by(P702),gene(wd:Q7187),950098
sequence_variant,724,,,
,,negative therapeutic predictor for(P3355),chemical_compound(wd:Q11173),156
,,positive therapeutic predictor for(P3354),chemical_compound(wd:Q11173),157
,,positive therapeutic predictor for(P3354),medication(wd:Q12140),130
,,negative therapeutic predictor for(P3355),medication(wd:Q12140),153
,,biological variant of(P3433),gene(wd:Q7187),715
,,chromosome(P1057),chromosome(wd:Q37748),421
supersecondary_structure,688,,,
,,part of(P361),protein_domain(wd:Q898273),404
,,part of(P361),protein_family(wd:Q417841),1345
,,part of(P361),protein(wd:Q8054),3
symptom,366,,,
,,drug or therapy used for treatment(P2176),chemical_compound(wd:Q11173),154
taxon,2769303,,,
therapeutic_use,0,,,
