name,value,prop,propType,value
,,anatomical location(P927),anatomical_structure(wd:Q4936952),77
,,genetic association(P2293),gene(wd:Q7187),2187
,,drug or therapy used for treatment(P2176),medication(wd:Q12140),2679
,,drug or therapy used for treatment(P2176),therapeutic_use(wd:Q50379781),0
,,subclass of(P279),disease(wd:Q12136),11267
,,symptoms and signs(P780),disease(wd:Q12136),134
,,has cause(P828),taxon(wd:Q16521),148
,,medical condition treated(P2175),chemical_compound(wd:Q11173),0
,,medical condition treated(P2175),medication(wd:Q12140),0
,,medical condition treated(P2175),therapeutic_use(wd:Q50379781),0
,,drug or therapy used for treatment(P2176),chemical_compound(wd:Q11173),2868
gene,677836,,,
,,ortholog(P684),gene(wd:Q7187),273443
,,found in taxon(P703),taxon(wd:Q16521),379626
,,genetic association(P2293),disease(wd:Q12136),2179
,,chromosome(P1057),chromosome(wd:Q37748),122680
,,encodes(P688),protein(wd:Q8054),494306
,,biological process(P682),biological_process(wd:Q2996394),377
mechanism_of_action,0,,,
medication,2472,,,
,,subject has role(P2868),mechanism_of_action(wd:Q3271540),0
,,significant drug interaction(P769),chemical_compound(wd:Q11173),1807
,,subclass of(P279),therapeutic_use(wd:Q50379781),0
,,significant drug interaction(P769),therapeutic_use(wd:Q50379781),0
,,medical condition treated(P2175),symptom(wd:Q169872),136
,,medical condition treated(P2175),disease(wd:Q12136),2604
,,active ingredient in(P3780),pharmaceutical_product(wd:Q28885102),852
,,subject has role(P2868),pharmacologic_action(wd:Q50377224),0
,,subclass of(P279),pharmacologic_action(wd:Q50377224),0
,,subject has role(P2868),therapeutic_use(wd:Q50379781),0
,,significant drug interaction(P769),pharmacologic_action(wd:Q50377224),0
molecular_function,9801,,,
,,subclass of(P279),molecular_function(wd:Q14860489),9719
,,has part(s)(P527),molecular_function(wd:Q14860489),127
,,part of(P361),molecular_function(wd:Q14860489),126
pharmaceutical_product,1067,,,
,,active ingredient in(P3780),chemical_compound(wd:Q11173),0
,,has active ingredient(P3781),medication(wd:Q12140),854
,,therapeutic area(P4044),disease(wd:Q12136),1062
,,has active ingredient(P3781),pharmacologic_action(wd:Q50377224),0
,,active ingredient in(P3780),therapeutic_use(wd:Q50379781),0
,,active ingredient in(P3780),medication(wd:Q12140),0
,,has active ingredient(P3781),chemical_compound(wd:Q11173),888
,,has active ingredient(P3781),therapeutic_use(wd:Q50379781),0
,,active ingredient in(P3780),pharmacologic_action(wd:Q50377224),0
pharmacologic_action,0,,,
protein_domain,8847,,,
,,part of(P361),protein_domain(wd:Q898273),301
,,has part(s)(P527),protein_domain(wd:Q898273),301
,,regulates (molecular biology)(P128),protein_domain(wd:Q898273),0
,,subclass of(P279),protein_domain(wd:Q898273),1541
protein_family,20632,,,
,,part of(P361),protein(wd:Q8054),0
,,subclass of(P279),protein_family(wd:Q417841),5032
,,has part(s)(P527),protein(wd:Q8054),7
protein,487781,,,
,,physically interacts with(P129),chemical_compound(wd:Q11173),3953
,,physically interacts with(P129),medication(wd:Q12140),1971
,,cell component(P681),protein(wd:Q8054),0
,,cell component(P681),cellular_component(wd:Q5058355),565705
,,molecular function(P680),molecular_function(wd:Q14860489),456651
,,found in taxon(P703),taxon(wd:Q16521),195439
,,has part(s)(P527),protein_family(wd:Q417841),0
,,has part(s)(P527),binding_site(wd:Q616005),10914
,,physically interacts with(P129),protein(wd:Q8054),14
,,has part(s)(P527),protein_domain(wd:Q898273),518172
,,part of(P361),protein_family(wd:Q417841),271653
,,part of(P361),binding_site(wd:Q616005),0
,,part of(P361),active_site(wd:Q423026),0
,,biological process(P682),biological_process(wd:Q2996394),858628
,,has part(s)(P527),active_site(wd:Q423026),13776
,,cell component(P681),anatomical_structure(wd:Q4936952),0
,,part of(P361),protein_domain(wd:Q898273),0
,,encoded by(P702),gene(wd:Q7187),494301
sequence_variant,918,,,
,,negative therapeutic predictor for(P3355),chemical_compound(wd:Q11173),92
,,positive therapeutic predictor for(P3354),chemical_compound(wd:Q11173),141
,,positive therapeutic predictor for(P3354),medication(wd:Q12140),110
,,negative therapeutic predictor for(P3355),medication(wd:Q12140),91
,,biological variant of(P3433),gene(wd:Q7187),906
,,chromosome(P1057),chromosome(wd:Q37748),507
supersecondary_structure,687,,,
,,part of(P361),protein_domain(wd:Q898273),407
,,part of(P361),protein_family(wd:Q417841),1366
,,part of(P361),protein(wd:Q8054),1
symptom,283,,,
,,drug or therapy used for treatment(P2176),chemical_compound(wd:Q11173),159
taxon,2318731,,,
therapeutic_use,0,,,
